Source,Type,Target,Weight
Вещежонка,Undirected,Липяное бывьмо,1
Вещежонка,Undirected,Мамки,1
Вещежонка,Undirected,Молодой рабочий,1
Вещежонка,Undirected,Молчащие сестры,1
Вещежонка,Undirected,Морозный тятька,1
Вещежонка,Undirected,Некий глас,1
Вещежонка,Undirected,Немини,1
Вещежонка,Undirected,Няня-леший,1
Вещежонка,Undirected,Рында,1
Вещежонка,Undirected,Сказчич-Морочич,1
Вещежонка,Undirected,Слепини,1
Вещежонка,Undirected,Смехини,1
Вещежонка,Undirected,Снегомужье,1
Вещежонка,Undirected,Снегун,1
Вещежонка,Undirected,Снегчие,1
Вещежонка,Undirected,Снежак,1
Вещежонка,Undirected,Снежачиха,1
Вещежонка,Undirected,Снежные мамки,1
Вещежонка,Undirected,Снезини,1
Вещежонка,Undirected,Старушка-докладчица,1
Ворон,Undirected,Вселенничи,1
Ворон,Undirected,Древолюд,1
Ворон,Undirected,Заяц,1
Ворон,Undirected,Липовый парень,1
Ворон,Undirected,Липяное бывьмо,1
Ворон,Undirected,Мамки,1
Ворон,Undirected,Молодой рабочий,1
Ворон,Undirected,Молчащие сестры,1
Ворон,Undirected,Морозный тятька,1
Ворон,Undirected,Некий глас,1
Ворон,Undirected,Немини,1
Ворон,Undirected,Няня-леший,1
Ворон,Undirected,Рында,1
Ворон,Undirected,Сказчич-Морочич,1
Ворон,Undirected,Слепини,1
Ворон,Undirected,Смехини,1
Ворон,Undirected,Снегомужье,1
Ворон,Undirected,Снегун,1
Ворон,Undirected,Снегчие,1
Ворон,Undirected,Снежак,1
Ворон,Undirected,Снежачиха,1
Ворон,Undirected,Снежные мамки,1
Ворон,Undirected,Снезини,1
Ворон,Undirected,Старушка-докладчица,1
Вселенничи,Undirected,Древолюд,1
Вселенничи,Undirected,Заяц,1
Вселенничи,Undirected,Липовый парень,1
Вселенничи,Undirected,Липяное бывьмо,1
Вселенничи,Undirected,Мамки,1
Вселенничи,Undirected,Молодой рабочий,1
Вселенничи,Undirected,Молчащие сестры,1
Вселенничи,Undirected,Морозный тятька,1
Вселенничи,Undirected,Некий глас,1
Вселенничи,Undirected,Немини,1
Вселенничи,Undirected,Няня-леший,1
Вселенничи,Undirected,Рында,1
Вселенничи,Undirected,Сказчич-Морочич,1
Вселенничи,Undirected,Слепини,1
Вселенничи,Undirected,Смехини,1
Вселенничи,Undirected,Снегомужье,1
Вселенничи,Undirected,Снегун,1
Вселенничи,Undirected,Снегчие,1
Вселенничи,Undirected,Снежак,1
Вселенничи,Undirected,Снежачиха,1
Вселенничи,Undirected,Снежные мамки,1
Вселенничи,Undirected,Снезини,1
Вселенничи,Undirected,Старушка-докладчица,1
Голос удаляющихся,Undirected,Голоса многих,1
Голос удаляющихся,Undirected,Кто-то,1
Голос удаляющихся,Undirected,Кто-то из присутствующих,1
Голос удаляющихся,Undirected,Новые голоса удаляющихся,1
Голос удаляющихся,Undirected,Рокот,1
Голос удаляющихся,Undirected,Руководитель игры,1
Голос удаляющихся,Undirected,Руководитель празднества,1
Голос удаляющихся,Undirected,Старец,1
Голоса многих,Undirected,Кто-то,1
Голоса многих,Undirected,Кто-то из присутствующих,1
Голоса многих,Undirected,Новые голоса удаляющихся,1
Голоса многих,Undirected,Рокот,1
Голоса многих,Undirected,Руководитель игры,1
Голоса многих,Undirected,Руководитель празднества,1
Голоса многих,Undirected,Старец,1
Городовой,Undirected,Дети,1
Городовой,Undirected,Женщина с ведрами,1
Городовой,Undirected,Зимний голос,1
Городовой,Undirected,Мальчики,1
Городовой,Undirected,Некто,1
Городовой,Undirected,Нищий,1
Городовой,Undirected,Отставший спутник,1
Городовой,Undirected,Пристав,1
Городовой,Undirected,Прохожие,1
Городовой,Undirected,Пьяница,1
Городовой,Undirected,Славодей,1
Городовой,Undirected,Снегей,1
Городовой,Undirected,Снежимочка,1
Городовой,Undirected,Старуха,1
Городовой,Undirected,Ученый,1
Городовой,Undirected,Ховун,1
Дети,Undirected,Женщина с ведрами,1
Дети,Undirected,Зимний голос,1
Дети,Undirected,Мальчики,1
Дети,Undirected,Некто,1
Дети,Undirected,Нищий,1
Дети,Undirected,Отставший спутник,1
Дети,Undirected,Пристав,1
Дети,Undirected,Прохожие,1
Дети,Undirected,Пьяница,1
Дети,Undirected,Славодей,1
Дети,Undirected,Снегей,1
Дети,Undirected,Снежимочка,1
Дети,Undirected,Старуха,1
